E37366C96E9AFF3E495F,:, -, -, -, , , Swasta, SMP, Yayasan
47C209784580231D69AA,A, Tidak Bersedia Menrima, Belum Bersertifikat, PLN, 20000, 3 (Tri), Swasta, SMA, Yayasan
A98BD9EE27311C8A445F,A, Bersedia Menerima, Belum Bersertifikat, PLN, 3000, Lainnya (Serat Optik), Negeri, SMK, Pemerintah Daerah
BF41DCB92FC51CC44CB2,B, Bersedia Menerima, Belum Bersertifikat, PLN, 450, XL (GSM), Swasta, SMK, Yayasan
33075C3689D52B93A743,B, Bersedia Menerima, Belum Bersertifikat, PLN, 6000, Tidak Ada, Swasta, SMK, Yayasan
0E9EA55DBFC4EA8568AD,B, Bersedia Menerima, Belum Bersertifikat, PLN, 0, Telkom Speedy, Negeri, SD, Pemerintah Daerah
F8B58490C9E926B59E64,C, Bersedia Menerima, Proses Sertifikasi, PLN, 1300, Tidak Ada, Negeri, SD, Pemerintah Daerah
4302A36D490E856AB05E,:, Bersedia Menerima, Belum Bersertifikat, PLN, 2600, Telkomsel Flash, Negeri, SD, Pemerintah Daerah
9E7D7971A1DF6429FAB1,:, Bersedia Menerima, Belum Bersertifikat, PLN, 1300, Tidak Ada, Negeri, SD, Pemerintah Daerah
20CFC3382EF575FDC2CF,i, Bersedia Menerima, Belum Bersertifikat, PLN, 1300, Tidak Ada, Negeri, SD, Pemerintah Daerah
397FF16BF236D67928DE,:, Bersedia Menerima, Belum Bersertifikat, PLN, 1300, Telkomsel Flash, Negeri, SD, Pemerintah Daerah
B5D7E008DC2E0821A78A,:, Bersedia Menerima, Belum Bersertifikat, PLN, 900, Tidak Ada, Swasta, SD, Yayasan
016CDCE22C18DCDCA990,B, Bersedia Menerima, 9001, PLN, 1300, Telkomsel Flash, Swasta, SD, Yayasan
E66669CA3D07E4E5B9B3,A, Bersedia Menerima, 9001, PLN & Diesel, 3500, Telkomsel Flash, Swasta, SD, Yayasan
57CBEBAA7BD36E833D86,:, Bersedia Menerima, 9001, PLN, 3500, Telkomsel Flash, Swasta, SD, Yayasan
A1A8A052F0B2D4A87E13,i, Bersedia Menerima, Belum Bersertifikat, PLN, 0, Tidak Ada, Negeri, SMP, Pemerintah Daerah
ABA2974A6B0BA1F1D95D,B, Bersedia Menerima, Belum Bersertifikat, PLN, 3500, Tidak Ada, Negeri, SMP, Pemerintah Daerah
